date,category_id,forecast_revenue
2026-09-01,1,159921861.64242268
2026-10-01,1,162365054.4061337
2026-11-01,1,143260324.7534186
2026-12-01,1,128347123.0691404
2027-01-01,1,144425461.21505097
2027-02-01,1,148634437.7040145
2027-03-01,1,176783920.8279902
2027-04-01,1,165925765.27803075
2027-05-01,1,131297336.17924473
2027-06-01,1,162924832.78052974
2027-07-01,1,154274751.04780316
2027-08-01,1,147758049.63754597
2026-09-01,2,184275460.54093662
2026-10-01,2,189595857.97473073
2026-11-01,2,176221380.4022779
2026-12-01,2,221066225.9031544
2027-01-01,2,200896802.66599613
2027-02-01,2,209740067.31428763
2027-03-01,2,203932846.4537025
2027-04-01,2,145859221.66269544
2027-05-01,2,173496556.48074517
2027-06-01,2,213537958.0553941
2027-07-01,2,198972787.63139173
2027-08-01,2,222569930.2822944
2026-09-01,3,529745424.71873903
2026-10-01,3,558389167.5049057
2026-11-01,3,537926094.6910576
2026-12-01,3,567441595.886754
2027-01-01,3,511302879.09266514
2027-02-01,3,525392483.02331805
2027-03-01,3,561950927.0625863
2027-04-01,3,476941235.1940989
2027-05-01,3,485251549.73953956
2027-06-01,3,603812542.4884621
2027-07-01,3,606425577.195842
2027-08-01,3,497697846.8322168
2026-09-01,4,86591732.56407198
2026-10-01,4,90399052.88489787
2026-11-01,4,95270046.79870446
2026-12-01,4,86120270.9432304
2027-01-01,4,88535347.96897987
2027-02-01,4,101355598.82580769
2027-03-01,4,90294717.7744898
2027-04-01,4,85503860.10317567
2027-05-01,4,96859586.82149565
2027-06-01,4,96526845.76779415
2027-07-01,4,63471979.07264609
2027-08-01,4,102856995.44589731
2026-09-01,5,90607134.2659176
2026-10-01,5,106535487.47822124
2026-11-01,5,93449853.88937238
2026-12-01,5,101604046.9235267
2027-01-01,5,98959934.49537066
2027-02-01,5,103626239.97023304
2027-03-01,5,90569596.94486628
2027-04-01,5,96629431.16294064
2027-05-01,5,102916490.18668889
2027-06-01,5,119793208.0999085
2027-07-01,5,107094411.72809596
2027-08-01,5,114198650.56976596
